Cast,Country,Date Added,Description,Director,Duration (In minutes),Genre,Month Added,Rating,Release Year,Seasons,Show Id,Title,Type,Year,Number of Records
"Priyanshu Painyuli, Chandrachoor Rai, Shadab Kamal, Rajeev Siddhartha, Sheetal Thakur, Ninad Kamat, Swati Semwal, Eijaz Khan",India,10/18/2019 12:00:00 AM,"Hoping to do good while making millions, three college graduates create a startup. But as business begins to flourish, their own bond starts to fray.",Udai Singh Pawar,112,"Comedies, Dramas, International Movies",10,TV-14,2019,,80998890,Upstarts,Movie,2019,1
"Fedi Nuril, Tatjana Saphira, Dewi Sandra, Chelsea Islan, Nur Fazura, Pandji Pragiwaksono, Arie Untung, Bront Palarae, Dewi Irawan",Indonesia,10/18/2019 12:00:00 AM,"Now a lecturer in Edinburgh, Fahri tries to begin a new chapter as the love of his life, Aisha, volunteers in the Gaza Strip. Have they moved on?",Guntur Soeharjanto,127,"Dramas, Faith & Spirituality, International Movies",10,TV-14,2017,,81047903,Verses of Love 2,Movie,2019,1
"Karthik, Gautam Karthik, Regina Cassandra, Varalakshmi Sarathkumar, Santhosh Prathap, Mime Gopi, J. Mahendran, Viji Chandrasekhar",India,10/18/2018 12:00:00 AM,"When the lives of a carefree boxer and his cabdriver dad collide with the ambitions of a ruthless businessman, a search for answers turns to revenge.",Thiru,131,"Dramas, International Movies, Thrillers",10,TV-MA,2018,,81026343,Mr. Chandramouli,Movie,2018,1
,,10/18/2017 12:00:00 AM,Popular South American bands Márama and Rombai share footage of behind-the-scenes antics and discuss their sudden rise to stardom.,Federico Lemos,79,"Children & Family Movies, Documentaries, International Movies",10,TV-PG,2016,,80208635,El Viaje: Márama y Rombai,Movie,2017,1
"Jaden Smith, Jackie Chan, Taraji P. Henson, Wenwen Han, Yu Rongguang, Zhensu Wu, Zhiheng Wang, Zhenwei Wang, Shijia Lü, Yi Zhao","United States, China",10/17/2019 12:00:00 AM,"After moving to Beijing with his mother, Dre falls prey to a bully, so he takes lessons from a martial arts master in this remake of the 1984 classic.",Harald Zwart,140,"Children & Family Movies, Dramas",10,PG,2010,,70125931,The Karate Kid,Movie,2019,1
"Vrund Rao, Ved Rao, Abigail Adriano, Miah Madden, Jean Hinchliffe, Nya Cofie, Saba Zaidi Abdi, Nicholas Brown, Virginie Laverdure, Avishma Lohith, Zenia Starr, Suzi Dougherty, Aria Ferris, Danny Kim, Annabel Wolfe",Australia,10/17/2019 12:00:00 AM,"When they learn of a secret plot to track and control kids, identical twins Dru and Kal team up with a band of runaway rebels to take back their world.",,,"Kids' TV, TV Thrillers",10,TV-PG,2019,1,80222326,THE UNLISTED,TV Show,2019,1
"Matthew Knight, Vanessa Morgan, Atticus Mitchell, Cameron Kennedy, Kate Todd, Joe Dinicol, Ella Jonas Farlinger, Ari Cohen, Laura de Carteret, Hrant Alianak",Canada,10/17/2018 12:00:00 AM,"When their parents head out for the evening, Ethan and his little sister get the babysitter of their nightmares: a fledgling vampire named Sarah.",Bruce McDonald,80,"Children & Family Movies, Comedies",10,TV-PG,2010,,70235768,My Babysitter's a Vampire: The Movie,Movie,2018,1
Patton Oswalt,United States,10/17/2017 12:00:00 AM,"By turns scathing and candid, Patton Oswalt reflects on the glut of comic material in the Trump era and the dark days following a personal tragedy.",Bobcat Goldthwait,66,Stand-Up Comedy,10,TV-MA,2017,,80177406,Patton Oswalt: Annihilation,Movie,2017,1
"Seo Hyun-jin, Eric Moon, Jeon Hye-bin, Ye Ji-won, Kim Ji-seok, Lee Jae-yoon, Lee Han-wi, Kim Mee-kyeong, Oh Man-seok, Lee Pil-mo",South Korea,10/16/2019 12:00:00 AM,"A sound director who suddenly starts getting visions of someone else’s future gets mired in the lives of two women, who happen to share the same name.",,,"International TV Shows, Korean TV Shows, Romantic TV Shows",10,TV-14,2016,1,81077044,Another Miss Oh,TV Show,2019,1
,United States,10/16/2019 12:00:00 AM,"Shocked when their friend embraces extremism, a group of Muslim Americans in Texas recount their time with him and theories about his fate.",Bassam Tariq,22,Documentaries,10,TV-MA,2019,,81081656,Ghosts of Sugar Land,Movie,2019,1
,United States,10/16/2019 12:00:00 AM,"Fans, experts and creators of the ""League of Legends"" detail the game’s rise from free demo to global esports titan.",Leslie Iwerks,78,Documentaries,10,TV-MA,2019,,81187847,League of Legends Origins,Movie,2019,1
Park Na-rae,South Korea,10/16/2019 12:00:00 AM,"Korea’s beloved comedian and favorite big sister figure talks sex, relationships and celebrity life. And she’s sassier and dirtier than ever before.",Kim Joo-hyung,63,Stand-Up Comedy,10,TV-MA,2019,,81053240,Park Na-rae: Glamour Warning,Movie,2019,1
"Choi Ji-woo, Lee Sang-yun, Choi Won-young, Kim Min-jae, Son Na-eun, Jung Soo-young, Choi Yoon-so, Park Hyo-ju",South Korea,10/16/2019 12:00:00 AM,"Facing major changes, a mother realizes it's time to live for herself and decides to enroll in college, where she finds her dream as well as new love.",,,"International TV Shows, Korean TV Shows, Romantic TV Shows",10,TV-14,2015,1,81167011,Second 20s,TV Show,2019,1
"Shannyn Sossamon, John Beasley, James Ransone, Tate Ellington, Robert Daniel Sloan, Dartanian Sloan, Lucas Jade Zumann, Lea Coco","United States, United Kingdom",10/16/2019 12:00:00 AM,"A single mother and her twin sons move into a rural house, unaware of its history of being inhabited by an evil spirit that preys upon young children.",Ciarán Foy,97,Horror Movies,10,R,2015,,80043834,Sinister 2,Movie,2019,1
"Arnold Schwarzenegger, Lewis Hamilton, James Wilks, Patrik Baboumian, Scott Jurek, Nimai Delgado, Morgan Mitchell, Rip Esselstyn, Dotsie Bausch, Damien Mander, Michael Thomas, Dr. Dean Ornish, David Goldman",United States,10/16/2019 12:00:00 AM,"Special Forces trainer James Wilks asks elite athletes to compare the merits of meat, protein and plants for building strength. Spoiler: plants win.",Louie Psihoyos,86,"Documentaries, Sports Movies",10,TV-MA,2018,,81157840,The Game Changers,Movie,2019,1
Ron White,United States,10/16/2018 12:00:00 AM,"Ron “Tater Salad” White dishes out his signature brand of cynicism, riffing on sex, celebrity and the sinister habits of wild geese.",Tom Forrest,63,Stand-Up Comedy,10,TV-MA,2018,,80244900,"Ron White: If You Quit Listening, I'll Shut Up",Movie,2018,1
"Ajay Devgn, Emraan Hashmi, Vidyut Jamwal, Ileana D'Cruz, Esha Gupta, Sanjay Mishra, Sunny Leone, Sharad Kelkar, Priyanshu Chatterjee, Denzil Smith",India,10/16/2017 12:00:00 AM,"In 1975, during the government-declared Emergency, thief Bhawani and his crew plan a daring robbery to reclaim his royal lover's seized treasures.",Milan Luthria,135,"Action & Adventure, International Movies",10,TV-14,2017,,80211134,Baadshaho,Movie,2017,1
"Eric Bana, Rebecca Hall, Ciarán Hinds, Riz Ahmed, Anne-Marie Duff, Kenneth Cranham, Julia Stiles, Jim Broadbent, Denis Moschitto, Barbora Bobulova, Jemma Powell","United Kingdom, United States",10/16/2017 12:00:00 AM,"Martin and Claudia, top-flight lawyers who happen to be former lovers, become targets when they're teamed up to defend a notorious terrorist.",John Crowley,96,"Dramas, Thrillers",10,R,2013,,70271601,Closed Circuit,Movie,2017,1
"Yenn Teoh, Leslie Chai, Elvis Chin, Candy Ice, Jacky Kam, Jordan Voon, Alvin Wong",United States,10/16/2017 12:00:00 AM,"Familial bonds strain as dramas concerning love, greed, business and generosity simmer across generations.",,,"International TV Shows, TV Dramas",10,TV-14,2011,1,80136786,Footprints in the Sand,TV Show,2017,1
"Kelvin Leong, Remon Lim, Loo Aye Keng, Lawrence Wong, Frederick Lee, Danielle Dai, Joey Leong",,10/16/2017 12:00:00 AM,"Once domineered by her own mother, a well-meaning matriarch has trouble being lax with her children, especially when her daughter-in-law moves in.",,,"International TV Shows, Romantic TV Shows, TV Dramas",10,TV-PG,2016,1,80136788,In Laws,TV Show,2017,1
"Zoe Tay, Ann Kok, Tiffany Leong, Tay Ping Hui, Yao Wenlong, Shaun Chen, Paige Chua, Nat Ho, Desmond Sim",,10/16/2017 12:00:00 AM,"Personal desires guide the lives of a marriage-averse entrepreneur, a housewife coping with infidelity and a career woman who leaves her spouse.",,,"International TV Shows, TV Dramas",10,TV-14,2016,1,80136787,La Femme,TV Show,2017,1
"Wayne Chua, Frederick Lee, Steve Yap, Tiffany Leong, Aenie Wong, Kyo Chen, Angie Seow",,10/16/2017 12:00:00 AM,"Four couples – a speed-dating pair, a husband and wife, a man living with an older woman and co-workers with opposite views – weather ups and downs.",,,"International TV Shows, Romantic TV Shows, TV Comedies",10,TV-14,2012,1,80136454,Laws of Attraction,TV Show,2017,1
"Farhan Akhtar, Diana Penty, Ronit Roy, Gippy Grewal, Deepak Dobriyal, Inaamulhaq, Rajesh Sharma",India,10/16/2017 12:00:00 AM,"After being arrested for a crime he didn't commit, an aspiring musician teams up with some of his inmates at Lucknow Central to form a band.",Ranjit Tiwari,144,"Dramas, International Movies, Music & Musicals",10,TV-14,2017,,80204433,Lucknow Central,Movie,2017,1
Tom Fassaert,"Netherlands, Denmark, South Africa",10/16/2016 12:00:00 AM,The filmmaker hunts for the missing puzzle pieces of his family history during a visit with a complex and controversial figure: his grandmother.,Tom Fassaert,111,"Documentaries, International Movies",10,TV-PG,2015,,80089199,A Family Affair,Movie,2016,1
Anthony Jeselnik,United States,10/16/2015 12:00:00 AM,There's no subject too dark as the comedian skewers taboos and riffs on national tragedies before pulling back the curtain on his provocative style.,Adam Dubin,59,Stand-Up Comedy,10,TV-MA,2015,,80043049,Anthony Jeselnik: Thoughts and Prayers,Movie,2015,1
"Idris Elba, Abraham Attah, Kurt Egyiawan, Jude Akuwudike, Emmanuel ""King Kong"" Nii Adom Quaye, Ama K. Abebrese, Kobina Amissah Sam, Francis Weddey, Richard Pepple",United States,10/16/2015 12:00:00 AM,"When civil war tears his family apart, a young West African boy is forced to join a unit of mercenary fighters and transform into a child soldier.",Cary Joji Fukunaga,137,"Dramas, Independent Movies",10,NR,2015,,80044545,Beasts of No Nation,Movie,2015,1
"Julie Benz, Mercy Malick, Carter Jenkins, Molly Jackson, Michael Nardelli, Sara Sanderson, Kevin Sheridan, Cesar Garcia, Lisa Pelikan, Zachary James Rukavina, Lawrence Kao, Jordi Vilasuso, Kaiwi Lyman-Mersereau, Michael McLafferty, Allegra Masters, Autumn Federici, John Edward Lee, Matt Corboy",United States,10/16/2015 12:00:00 AM,"When a group of strangers is seized and awaits execution, they face the impossible task of choosing the one person among them worthy of being spared.","Aaron Hann, Mario Miscione",86,"Dramas, Independent Movies, Sci-Fi & Fantasy",10,NR,2015,,80070182,Circle,Movie,2015,1
"Güler Ökten, Hazal Türesan, İlkin Tüfekçi, Bedia Ener, Erkan Can, Öykü Karayel, Emre Kızılırmak, Bestemsu Özdemir, Engin Akyürek, Burak Tamdoğan, Saygın Soysal, Tuba Büyüküstün, Ali Yörenç, Ahmet Tansu Taşanlar, Elif İnci",Turkey,10/15/2019 12:00:00 AM,"After a cop's fiancée and a jewelry designer's father are found dead together, the two bereaved ones face a perilous aftermath of a theft gone wrong.",Ahmet Katıksız,,"Crime TV Shows, International TV Shows, TV Dramas",10,TV-MA,2014,1,80176234,Black Money Love,TV Show,2019,1
"Jim Carrey, Marton Csokas, Charlotte Gainsbourg, Agata Kulesza, Kati Outinen, Zbigniew Zamachowski, Danuta Kowalska, Vlad Ivanov, Robert Więckiewicz, Piotr Głowacki","United Kingdom, Poland, United States",10/15/2019 12:00:00 AM,A detective on a cold murder case discovers that a famous writer’s latest novel contains details chillingly similar to the crime he’s investigating.,Alexandros Avranas,93,"Dramas, Thrillers",10,R,2016,,80992769,Dark Crimes,Movie,2019,1
"Parambrata Chatterjee, Ani Hovhannisyan, Jonathan Dumontier, Varzu, Sylvie de Neef, Prakashchandra Roy, Nicolas Pierson, Anahit Simonyan",,10/15/2019 12:00:00 AM,"Determined to trace her ancestral history, an Armenian woman travels to a French village, where she befriends a kind man and, better yet, finds herself.",Anindya Chatterjee,73,"Dramas, Independent Movies, International Movies",10,TV-PG,2019,,81191228,Homeland,Movie,2019,1
,,10/15/2019 12:00:00 AM,"From Argentina to Colombia, this stunning documentary follows five characters who share their deep connection to South America's majestic mountains.",,,"Docuseries, International TV Shows, Science & Nature TV",10,TV-G,2019,1,81154549,Magical Andes,TV Show,2019,1
"Rorrie D. Travis, Jazz Baduwalia, Jacqueline Scislowski, Abraham Rodríguez, Teuila Blakely, Kristina Ho, Cosme Flores, Kevin Copeland",United States,10/15/2019 12:00:00 AM,A new breed of secret agents must stop a ruthless computer virus and its minions from stealing the unlimited clean energy source that created them.,,,Kids' TV,10,TV-Y7-FV,2019,1,81192594,Power Rangers Beast Morphers,TV Show,2019,1
"Rasika Dugal, Devdutt Pattanaik",India,10/15/2018 12:00:00 AM,"Through chats with host Rasika Dugal, mythologist Devdutt Pattanaik explores the meaning and modern-day relevance of Indian folklore and philosophy.",,,International TV Shows,10,TV-PG,2017,1,81006356,Devlok with Devdutt Pattanaik,TV Show,2018,1
"Barun Chanda, Sabyasachi Chakraborty",India,10/15/2018 12:00:00 AM,"A professor mysteriously vanishes, leaving behind a host of suspects, a shadowy history and a clue: the anonymous birthday gift of a Bengali classic.",Anik Datta,150,"Dramas, International Movies",10,TV-14,2017,,81025935,Meghnadbodh Rohoshyo,Movie,2018,1
"Ranbir Kapoor, Vicky Kaushal, Paresh Rawal, Sonam Kapoor, Dia Mirza, Jim Sarbh, Anushka Sharma, Manisha Koirala, Boman Irani",India,10/15/2018 12:00:00 AM,"From the depths of addiction to the heights of stardom to underworld entanglements, this biopic traces the checkered past of Indian actor Sanjay Dutt.",Rajkumar Hirani,159,"Dramas, International Movies",10,TV-MA,2018,,81020508,Sanju,Movie,2018,1
,United Kingdom,10/15/2018 12:00:00 AM,"When it comes to daring stunts and outrageous pranks, we often wonder: What were they thinking? This high-octane series tries to find some answers.",,,"British TV Shows, International TV Shows, Reality TV",10,TV-MA,2018,1,80241004,Stunt Science,TV Show,2018,1
"Johnny Baweja, Reeth Mazumder, Manav Kaul, Tanvi Vyas, Puru Chibber, Vasundhara Kaul, Aayam Mehta, Niraj Sah",India,10/15/2017 12:00:00 AM,"A film school graduate is interested in making a movie about his girlfriend's uncle, who claims that he can see his long-dead daughter.",Ishaan Trivedi,108,"International Movies, Thrillers",10,TV-MA,2016,,80201824,A Scandall,Movie,2017,1
"Palash Sen, Ira Dubey, Yashpal Sharma, Tinnu Anand, Prisha Dabbas, Kymsleen Kholie, Satish Sharma",India,10/15/2017 12:00:00 AM,"During a vacation with her parents, away from her concrete urban existence, a young girl learns to appreciate the joys of connecting with nature.",Biswajeet Bora,127,"Dramas, Independent Movies, International Movies",10,TV-14,2015,,80203782,Aisa Yeh Jahaan,Movie,2017,1
"Kay Kay Menon, Tisca Chopra, Arjun Mathur, Paoli Dam, Vishakha Singh, Manish Chaudhary, Vishesh Tiwari, Harsh Chhaya",India,10/15/2017 12:00:00 AM,A young medical intern sets out to fight for justice after the negligence of the surgeon he looked up to ends in tragedy.,Sohail Tatari,127,"Dramas, International Movies, Thrillers",10,TV-14,2013,,80201829,Ankur Arora Murder Case,Movie,2017,1
"Kura Forrester, William Davis, Tina Cook, Hariata Moriarty",New Zealand,10/15/2017 12:00:00 AM,"This documentary tries to reconstruct, through a series of interviews, a family's misguided attempt to heal a woman's pain through exorcism.",David Stubbs,90,"Documentaries, International Movies",10,TV-MA,2015,,80126016,Belief: The Possession of Janet Moses,Movie,2017,1
"Akanksha Puri, Avani Modi, Kyra Dutt, Ruhi Singh, Satarupa Pyne, Mita Vashisht, Keith Sequeira, Deepak Wadhwa, Indraneil Sengupta, Vikram Sakhalkar",India,10/15/2017 12:00:00 AM,Five calendar models try to navigate the twists and turns thrown in their path by the seductive and ruthless world of glamour.,Madhur Bhandarkar,126,"Dramas, International Movies",10,TV-14,2015,,80202089,Calendar Girls,Movie,2017,1
"Gurpreet Ghuggi, Happy Raikoti, Kartar Cheema, Sardar Sohi, Shavendra Mahal, Karamjit Anmol, Pammi Bai, Nirmal Rishi, Manpreet Saggu",India,10/15/2017 12:00:00 AM,"After returning from school and getting married, a popular farmer begins to arouse resentment and jealousy among those around him.",Parveen Kumar,121,"Dramas, International Movies",10,TV-14,2016,,80203789,Darra,Movie,2017,1
Paco Ignacio Taibo II,Venezuela,10/15/2017 12:00:00 AM,"Spanish-Mexican writer Paco Ignacio Taibo II hits the road to trace the footsteps of Ernesto ""Che"" Guevara and sheds new light on the revolutionary.",Matías Gueilburt,119,"Documentaries, International Movies",10,TV-14,2017,,80193423,El Che,Movie,2017,1
"Vinay Pathak, Konkona Sen Sharma, Ranvir Shorey, Tannishtha Chatterjee, Rajit Kapoor, Vikram Gokhale, Vipin Sharma, Rahul Vohra, Saurabh Shukla, Asrani",India,10/15/2017 12:00:00 AM,A former freedom fighter is forced to navigate the corridors of a disinterested bureaucracy to prove that he fought in India's freedom movement.,Ananth Narayan Mahadevan,109,"Dramas, Independent Movies, International Movies",10,TV-14,2015,,80201825,Gour Hari Dastaan: The Freedom File,Movie,2017,1
,Malaysia,10/15/2017 12:00:00 AM,A young wannabe magician and his mischievous stage rabbit battle and sabotage each other while putting on shows.,Ah Loong,,"Kids' TV, TV Comedies",10,TV-Y7,2017,1,80202376,Harry & Bunnie,TV Show,2017,1
"Purab Kohli, Tannishtha Chatterjee, Kirti Kulhari, Yashpal Sharma, Mukul Dev, Saidah Jules, Ravi Gossain, Rahul Singh",India,10/15/2017 12:00:00 AM,A gifted young man from a drought-stricken village helps a group of ecologists find water for migrating flamingoes.,Girish Malik,132,"Dramas, Independent Movies, International Movies",10,TV-14,2013,,80028360,Jal,Movie,2017,1
"Swara Bhaskar, Bhanu Uday, Murli Sharma, Deep Raj Rana, Reema Debnath, Hemant Pandey, Saurabh Dubey, Sakha Kalyani",India,10/15/2017 12:00:00 AM,"After relocating to a different town with her husband, a housewife begins to sense the existence of a mysterious presence in their new house.",Debaloy Dey,118,"Horror Movies, International Movies",10,TV-MA,2014,,80203783,Macchli Jal Ki Rani Hai,Movie,2017,1
"Kellan Lutz, Jess Weixler, Jesse Williams, Jamie Bamber, Lucía Guerrero, Fredric Lehne","United States, Spain",10/15/2017 12:00:00 AM,"Two corporate spies with a $5 million haul for selling secrets are held hostage by a thief, triggering a game of cat and mouse to gain the upper hand.",Martin Rosete,84,Thrillers,10,R,2016,,80142617,Money,Movie,2017,1
"Tanuj Virwani, Sunny Leone, Narendra Jetley, Aamir Ahmed, Kapil Punjabi, Madhurima Banerjee, Ninad Kamat, Geeta Bisht",India,10/15/2017 12:00:00 AM,An obsession with a woman with whom he had a one-night stand brings disharmony into a man's life and destroys his peace of mind.,Jasmine D'Souza,93,"Dramas, International Movies, Music & Musicals",10,TV-MA,2016,,80201823,One Night Stand,Movie,2017,1
"Jessica De Gouw, T.J. Power, Thomas Cocquerel, Liam Graham, Clarence John Ryan, Maggie Meyer, Tiriel Mora, Priscilla-Anne Forder, Adriane Daff, Ian Toyne","Australia, United Arab Emirates",10/15/2017 12:00:00 AM,"After inventing a drug that induces time-compressed virtual realities, young Ren grapples with partner Sam over how to use their powerful creation.",Ben C. Lucas,96,"Dramas, Independent Movies, International Movies",10,TV-MA,2017,,80190841,OtherLife,Movie,2017,1
"Jaswinder Bhalla, Sonam Bajwa, Diljit Dosanjh, Monica Gill","Australia, India",10/15/2017 12:00:00 AM,A simple farmer's life becomes complicated after he resolves to save his village from an economic crisis by traveling to Australia to earn money.,Rohit Jugraj,145,"Action & Adventure, Comedies, International Movies",10,TV-PG,2016,,80115858,Sardaarji 2,Movie,2017,1
"Leila Jolene, Flavio Parenti, Josefin Asplund",France,10/15/2017 12:00:00 AM,A little girl discovers she’s the modern-day descendant of Snow White when seven dwarfs arrive at her suburban home to serve as her guardian angels.,,,Kids' TV,10,TV-G,2017,1,80183199,Seven and Me,TV Show,2017,1
"Shammi Kapoor, Padmini, Maria Menado, Shashikala, Agha, K.N. Singh, Madan Puri, Helen","India, Malaysia",10/15/2017 12:00:00 AM,"When his employee disappears in Singapore, Shyam travels from India to investigate the absence and becomes entangled in a deadly plot.",Shakti Samanta,158,"Comedies, Dramas, International Movies",10,TV-PG,1960,,80158547,Singapore,Movie,2017,1
"Raj B. Shetty, Usha Bhandary, Shailashree, Prakash Tuminadu, Amrutha Naik, Shreya Anchan, VJ Vineeth, Rahul Amin, Deepak Rai Panaje, Ramdas",India,10/15/2017 12:00:00 AM,"When an astrologer gives him one year to find a mate or face being alone forever, a professor sets out to find a bride despite serious obstacles.",Raj B. Shetty,132,"Comedies, International Movies, Romantic Movies",10,TV-PG,2017,,80206827,Story of an Egg,Movie,2017,1
"Nikhil Dwivedi, Richa Chadha, Damandeep Singh Baggan, Vijay Pande, Talib Mehdi, Tushar Phulke, Mahesh Gupta, Prasad Labhe",India,10/15/2017 12:00:00 AM,A man and a woman on the run from the law are drawn to each other through the common bond of their mutual dependency.,Navneet Behal,111,"Action & Adventure, International Movies, Romantic Movies",10,TV-MA,2014,,80202090,Tamanchey,Movie,2017,1
"Happy Raikoti, Diljott, Prince Kanwaljit Singh, Karamjit Anmol, Harinder Bhullar, Virast Sandhu, Anita Devgan, Simran Sehajpal",India,10/15/2017 12:00:00 AM,New beginnings appear to be on the horizon after a simple country boy forms a bond with a sophisticated urban girl with modern ideas.,Sukhbir Singh,133,"Comedies, International Movies, Romantic Movies",10,TV-PG,2016,,80203790,Teshan,Movie,2017,1
"Mala Sinha, Shammi Kapoor, Raaj Kumar, Leela Chitnis, Dhumal, Kumkum",India,10/15/2017 12:00:00 AM,"An honest man dreams of a better life for his family, but a childhood friend leads him into a world of crime that keeps happiness just out of reach.",Naresh Saigal,143,"Dramas, International Movies",10,TV-PG,1959,,80158391,Ujala,Movie,2017,1
"Sandeep Bharadwaj, Sachiin Joshi, Lisa Ray, Usha Jadhav, Nissar Khan, Krishna Shrikanth Iyengar",India,10/15/2017 12:00:00 AM,A police official assembles an elaborate network of spies and undercover operatives to bring down a ruthless bandit with a private army.,Ram Gopal Varma,117,"Action & Adventure, Dramas, International Movies",10,TV-14,2016,,80201822,Veerappan,Movie,2017,1
,"Canada, India, Thailand, United States, United Arab Emirates",10/15/2017 12:00:00 AM,"Pressured by his traditional family to marry, a filmmaker explores the idea of monogamy and the possibility of lifelong union without sexual fidelity.",Dhruv Dhawan,84,Documentaries,10,TV-MA,2016,,80211540,Why Knot,Movie,2017,1
"Gérard Depardieu, Chantal Lauby, Medi Sadoun, Ilian Bergala, Blanche Gardin, Patrick Timsit, Barbara Cabrita, Jean Dell, Thomas Vandenberghe, Théo Fernandez, Léa Lopez",France,10/15/2016 12:00:00 AM,"When a fit of anger leads to a serious injury, a sidelined soccer star returns to his hometown and reluctantly agrees to train the local youth.",Thomas Sorriaux,97,"Comedies, International Movies, Sports Movies",10,TV-14,2016,,80123743,A Mighty Team,Movie,2016,1
"Hiroaki Iwanaga, Takahiro Sakurai, Toa Yukinari, Yuki Kaji, Minako Kotobuki, Takahiro Fujiwara, Yoshiro Matsumoto, Kazuki Yao, Aki Toyosaki, Rikiya Koyama, Kenta Miyake",Japan,10/15/2016 12:00:00 AM,"Loner Guts is recruited by Griffith and his band of mercenaries, but their ensuing success as a full-fledged army could lead to a horrible fate.",Toshiyuki Kubooka,77,"Action & Adventure, Anime Features, International Movies",10,TV-MA,2012,,70258995,Berserk: The Golden Age Arc I - The Egg of the King,Movie,2016,1
"Masakazu Morita, Fumiko Orikasa, Aya Hirano, Hiroshi Kamiya, Mitsuaki Madono, Ryotaro Okiayu, Kentaro Ito, Shinichiro Miki, Satsuki Yukino, Masaaki Tsukada",Japan,10/15/2016 12:00:00 AM,"When his mind is fogged by a scimitar-weilding stranger, Mayuri destroys his laboratory, unleashing a cloud of reishi that lays waste to the Seiretei.",Noriyuki Abe,94,"Action & Adventure, Anime Features, Sci-Fi & Fantasy",10,NR,2008,,70208801,Bleach The Movie: Fade to Black,Movie,2016,1
"Masakazu Morita, Fumiko Orikasa, Kazuya Nakai, Noriaki Sugiyama, Kentarô Itô, Yuki Matsuoka, Ryotaro Okiayu, Romi Park",Japan,10/15/2016 12:00:00 AM,"When a group of vicious Sinners plots to escape from this eternal prison in Hell, they discover that Substitute Soul Reaper Ichigo is the key to their freedom. The Sinners launch an attack and in the process kidnap Ichigo's younger sister.",Noriyuki Abe,94,"Action & Adventure, Anime Features, Sci-Fi & Fantasy",10,NR,2010,,70260383,Bleach the Movie: Hell Verse,Movie,2016,1
"Mélanie Bernier, Clovis Cornillac, Lilou Fogli, Philippe Duquesne, Grégoire Oestermann, Oscar Copp, Boris Terral, Manu Payet",France,10/15/2016 12:00:00 AM,"A passionate pianist and a soulful puzzle maker who treasures silence aren't the best neighbors, but things get interesting when they start to date.",Clovis Cornillac,91,"Comedies, International Movies, Romantic Movies",10,TV-14,2015,,80123744,Blind Date,Movie,2016,1
"Kappei Yamaguchi, Alessandro Juliani, Mamoru Miyano, Brad Swaile, Ai Satou, Saffron Henderson, Akeno Watanabe, Lisa Ann Beley, Aya Hirano, Shannon Chan-Kent, Haruka Kudo, Kelly Metzger, Hideo Ishikawa, Brian Dobson, Hiroki Takahashi, Sam Vincent, Shido Nakamura, Brian Drummond, Naoya Uchida, Chris Britton",Japan,10/15/2016 12:00:00 AM,"When a Japanese high schooler comes into possession of a mystical notebook, he finds he has the power to kill anybody whose name he enters in it.",,,"Anime Series, Crime TV Shows, International TV Shows",10,TV-14,2006,1,70204970,DEATH NOTE,TV Show,2016,1
"Junko Takeuchi, Noriaki Sugiyama, Chie Nakamura, Kazuhiko Inoue, Satoshi Hino, Shinji Kawada, Nana Mizuki, Showtaro Morikubo, Rikiya Koyama, Motoko Kumai, Unsho Ishizuka",Japan,10/15/2016 12:00:00 AM,"When strange ninjas ambush the village of Konohagakure, it's up to adolescent ninja Naruto and his long-missing pal, Sasuke, to save the planet.",Hajime Kamegaki,93,"Action & Adventure, Anime Features, International Movies",10,TV-14,2008,,70105699,Naruto Shippûden the Movie: Bonds,Movie,2016,1
"Junko Takeuchi, Chie Nakamura, Yoichi Masukawa, Kôichi Tôchika, Masako Katsuki, Keiko Nemoto, Kazuhiko Inoue, Masashi Ebara, Showtaro Morikubo, Romi Park, Ayumi Fujimura, Fumiko Orikasa",Japan,10/15/2016 12:00:00 AM,"The adventures of adolescent ninja Naruto Uzumaki continue as he's tasked with protecting a priestess from a demon – but to do so, he must die.",Hajime Kamegaki,95,"Action & Adventure, Anime Features, International Movies",10,TV-14,2007,,70124999,Naruto Shippuden: The Movie,Movie,2016,1
"Brennan Mejia, Camille Hyde, Yoshi Sudarso, Michael Taber, James Davies, Claire Blackwelder",United States,10/15/2016 12:00:00 AM,Just when you thought the Rangers' mission was accomplished there's an even more difficult challenge for them to face with the arrival of a new enemy.,,,Kids' TV,10,TV-Y7,2016,1,80088507,Power Rangers Dino Super Charge,TV Show,2016,1
"Marc-André Grondin, Denis Ménochet, Miranda Raison, Doug Allen, Liam Garrigan, Ciarán Owens, Kate Magowan, Tanya Fear, Naomi Radcliffe, Lucy Akhurst, Jemma Donovan, Niall Hayes, Brendan Coyle","United Kingdom, France",10/15/2016 12:00:00 AM,The law-abiding owner of a crime scene cleaning service is forced into business with a powerful mob boss thanks to his irresponsible older brother.,,,"Crime TV Shows, International TV Shows, TV Dramas",10,TV-MA,2015,1,80080727,Spotless,TV Show,2016,1
Martin Matte,Canada,10/14/2019 12:00:00 AM,"Quebecois comedy star Martin Matte serves up embarrassing personal stories, a solution for social media trolls and more in this unpredictable special.",Jean-François Blais,62,Stand-Up Comedy,10,TV-14,2019,,80990869,"Martin Matte: La vie, la mort...eh la la..!",Movie,2019,1
